countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,group,group2,account_t_d,fiaccount_t_d,mobileaccount_t_d,borrow_any_t_d,fin4_d,fin11_2a,fin11a,fin11b,fin11c,fin11f,fin11d,fin11e,fin14a,fin14b,fin14c,fin14d,fin13_1a,fin13_1b,fin26a,fin26b,fin27a,fin27b,fin17f,fin17a_17a1_d,fin17a,fin17b,fin17c
Afghanistan,AFG,2011,14575546,South Asia (excluding high income),Low income,all,all,0.090050121,0.090050121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028194203,0.028194203,NA,NA
Albania,ALB,2011,2281010,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.282681244,0.282681244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085616107,0.085616107,NA,NA
Algeria,DZA,2011,26251587,Middle East & North Africa (excluding high income),Lower middle income,all,all,0.332861125,0.332861125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043256993,0.043256993,NA,NA
Angola,AGO,2011,12779501,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.392035423,0.392035423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159155843,0.159155843,NA,NA
Argentina,ARG,2011,30685516,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.33130217,0.33130217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038006575,0.038006575,NA,NA
Armenia,ARM,2011,2457011,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.174868727,0.174868727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008191325,0.008191325,NA,NA
Australia,AUS,2011,17830548,High income,High income,all,all,0.990648467,0.990648467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619249402,0.619249402,NA,NA
Austria,AUT,2011,7123870,High income,High income,all,all,0.970817388,0.970817388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515938412,0.515938412,NA,NA
Azerbaijan,AZE,2011,7034188,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.149008504,0.149008504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016074727,0.016074727,NA,NA
Bahrain,BHR,2011,978145,High income,High income,all,all,0.645145712,0.645145712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162934248,0.162934248,NA,NA
Bangladesh,BGD,2011,100376575,South Asia (excluding high income),Lower middle income,all,all,0.317436491,0.317436491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166367945,0.166367945,NA,NA
Belarus,BLR,2011,8075665,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.586019795,0.586019795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068082103,0.068082103,NA,NA
Belgium,BEL,2011,9049843,High income,High income,all,all,0.963061274,0.963061274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425753521,0.425753521,NA,NA
Benin,BEN,2011,5496491,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.10463937,0.10463937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070161603,0.070161603,NA,NA
Bolivia,BOL,2011,6675907,Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.280291328,0.280291328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170694122,0.170694122,NA,NA
Bosnia and Herzegovina,BIH,2011,3217823,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.562116083,0.562116083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060840449,0.060840449,NA,NA
Botswana,BWA,2011,1340324,Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.302600143,0.302600143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16467,0.16467,NA,NA
Brazil,BRA,2011,145842533,Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.558603848,0.558603848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102869256,0.102869256,NA,NA
Bulgaria,BGR,2011,6400381,Europe & Central Asia (excluding high income),Upper middle income,all,all,0.528249019,0.528249019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048000612,0.048000612,NA,NA
Burkina Faso,BFA,2011,8802362,Sub-Saharan Africa (excluding high income),Low income,all,all,0.13353092,0.13353092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079148265,0.079148265,NA,NA
Burundi,BDI,2011,5147947,Sub-Saharan Africa (excluding high income),Low income,all,all,0.072379846,0.072379846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033066096,0.033066096,NA,NA
Cambodia,KHM,2011,9675871,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.036597117,0.036597117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008087082,0.008087082,NA,NA
Cameroon,CMR,2011,11072780,Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.148096124,0.148096124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099409947,0.099409947,NA,NA
Canada,CAN,2011,28373521,High income,High income,all,all,0.958046425,0.958046425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532030785,0.532030785,NA,NA
Central African Republic,CAF,2011,2428582,Sub-Saharan Africa (excluding high income),Low income,all,all,0.033008091,0.033008091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024745391,0.024745391,NA,NA
Chad,TCD,2011,6309105,Sub-Saharan Africa (excluding high income),Low income,all,all,0.089597456,0.089597456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068393046,0.068393046,NA,NA
Chile,CHL,2011,13480066,High income,High income,all,all,0.421792855,0.421792855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124167453,0.124167453,NA,NA
China,CHN,2011,1090576711,East Asia & Pacific (excluding high income),Upper middle income,all,all,0.638173129,0.638173129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320894212,0.320894212,NA,NA
